Number,district_n,subdistr,statistics,suco_name,stat_sucoc,ea_codes
1,Bobonaro,Atabae,401,Aidabaleten,40101,40101102
2,Bobonaro,Balibo,402,Leolima,40205,40205072
3,Bobonaro,Bobonaro,403,Cota Bo'ot,40306,40306022
4,Bobonaro,Cailaco,404,Meligo,40406,40406042
5,Bobonaro,Lolotoe,405,Lebos,40504,40504042
6,Bobonaro,Maliana,406,Ritabou,40605,40605122
7,Bobonaro,Lolotoe,405,Opa,40507,40507022
8,Bobonaro,Lolotoe,405,Guda,40503,40503032
9,Bobonaro,Lolotoe,405,Deudet,40501,40501032
10,Bobonaro,Lolotoe,405,Gildapil,40502,40502022
11,Bobonaro,Lolotoe,405,Lontas,40505,40505032
12,Bobonaro,Maliana,406,Saburai,40606,40606082
13,Bobonaro,Maliana,406,Tapo/Memo,40607,40607032
14,Bobonaro,Maliana,406,Lahomea,40602,40602012
15,Bobonaro,Maliana,406,Holsa,40601,40601072
16,Bobonaro,Maliana,406,Odomau,40603,40603042
17,Bobonaro,Bobonaro,403,Molop,40313,40313042
18,Bobonaro,Bobonaro,403,Leber,40308,40308032
19,Bobonaro,Bobonaro,403,Sibuni,40315,40315042
20,Bobonaro,Bobonaro,403,Lour,40309,40309042
21,Bobonaro,Bobonaro,403,Ai-Assa,40301,40301032
22,Bobonaro,Bobonaro,403,Tapo,40317,40317012
23,Bobonaro,Bobonaro,403,Oeleo,40314,40314022
24,Bobonaro,Bobonaro,403,Bobonaro,40303,40303052
25,Bobonaro,Bobonaro,403,Carabau,40304,40304032
26,Bobonaro,Bobonaro,403,Malilait,40312,40312042
27,Bobonaro,Bobonaro,403,Lourba,40310,40310022
28,Bobonaro,Bobonaro,403,Atu-Aben,40302,40302012
29,Bobonaro,Bobonaro,403,Ilat-Laun,40307,40307022
30,Bobonaro,Bobonaro,403,Soileco,40316,40316022
31,Bobonaro,Bobonaro,403,Tebabui,40318,40318012
32,Bobonaro,Bobonaro,403,Maliubu,40311,40311032
33,Bobonaro,Bobonaro,403,Colimau,40305,40305032
34,Bobonaro,Balibo,402,Cowa,40203,40203032
35,Bobonaro,Balibo,402,Leohito,40204,40204052
36,Bobonaro,Balibo,402,Balibo Vila,40201,40201042
37,Bobonaro,Balibo,402,Batugade,40202,40202032
38,Bobonaro,Atabae,401,Atabae,40102,40102032
39,Bobonaro,Atabae,401,Rairobo,40104,40104052
40,Bobonaro,Atabae,401,Hataz,40103,40103022
41,Bobonaro,Cailaco,404,Purugua,40407,40407052
42,Bobonaro,Cailaco,404,Dau Udo,40402,40402012
43,Bobonaro,Cailaco,404,Guenu Lai,40404,40404012
44,Bobonaro,Cailaco,404,Goulolo,40403,40403032
45,Bobonaro,Cailaco,404,Raiheu,40408,40408032
46,Bobonaro,Cailaco,404,Manapa,40405,40405022
47,Bobonaro,Balibo,402,Batugade,40202,40202012
48,Bobonaro,Balibo,402,Batugade,40202,40202022
49,Bobonaro,Balibo,402,Batugade,40202,40202052
50,Bobonaro,Balibo,402,Batugade,40202,40202042
51,Bobonaro,Balibo,402,Cowa,40203,40203012
52,Bobonaro,Balibo,402,Cowa,40203,40203022
53,Bobonaro,Balibo,402,Cowa,40203,40203052
54,Bobonaro,Balibo,402,Cowa,40203,40203042
55,Bobonaro,Balibo,402,Leohito,40204,40204012
56,Bobonaro,Balibo,402,Leohito,40204,40204022
57,Bobonaro,Balibo,402,Leohito,40204,40204032
58,Bobonaro,Balibo,402,Leohito,40204,40204042
59,Bobonaro,Balibo,402,Leohito,40204,40204062
60,Bobonaro,Balibo,402,Leolima,40205,40205022
61,Bobonaro,Balibo,402,Leolima,40205,40205032
62,Bobonaro,Balibo,402,Leolima,40205,40205042
63,Bobonaro,Balibo,402,Leolima,40205,40205052
64,Bobonaro,Balibo,402,Leolima,40205,40205062
65,Bobonaro,Balibo,402,Leolima,40205,40205082
66,Bobonaro,Balibo,402,Balibo Vila,40201,40201012
67,Bobonaro,Balibo,402,Balibo Vila,40201,40201022
68,Bobonaro,Balibo,402,Balibo Vila,40201,40201032
69,Bobonaro,Balibo,402,Balibo Vila,40201,40201082
70,Bobonaro,Balibo,402,Balibo Vila,40201,40201052
71,Bobonaro,Balibo,402,Balibo Vila,40201,40201062
72,Bobonaro,Balibo,402,Balibo Vila,40201,40201072
73,Bobonaro,Balibo,402,Balibo Vila,40201,40201092
74,Bobonaro,Balibo,402,Sanirin,40206,40206012
75,Bobonaro,Balibo,402,Sanirin,40206,40206022
76,Bobonaro,Atabae,401,Aidabaleten,40101,40101012
77,Bobonaro,Atabae,401,Aidabaleten,40101,40101022
78,Bobonaro,Atabae,401,Aidabaleten,40101,40101092
79,Bobonaro,Atabae,401,Aidabaleten,40101,40101032
80,Bobonaro,Atabae,401,Aidabaleten,40101,40101042
81,Bobonaro,Atabae,401,Aidabaleten,40101,40101052
82,Bobonaro,Atabae,401,Aidabaleten,40101,40101062
83,Bobonaro,Atabae,401,Aidabaleten,40101,40101112
84,Bobonaro,Atabae,401,Aidabaleten,40101,40101082
85,Bobonaro,Atabae,401,Atabae,40102,40102012
86,Bobonaro,Atabae,401,Atabae,40102,40102022
87,Bobonaro,Atabae,401,Atabae,40102,40102042
88,Bobonaro,Atabae,401,Hataz,40103,40103012
89,Bobonaro,Atabae,401,Hataz,40103,40103032
90,Bobonaro,Atabae,401,Rairobo,40104,40104012
91,Bobonaro,Atabae,401,Rairobo,40104,40104062
92,Bobonaro,Atabae,401,Rairobo,40104,40104022
93,Bobonaro,Atabae,401,Rairobo,40104,40104032
94,Bobonaro,Atabae,401,Rairobo,40104,40104042
95,Bobonaro,Cailaco,404,Purugua,40407,40407012
96,Bobonaro,Cailaco,404,Purugua,40407,40407022
97,Bobonaro,Cailaco,404,Purugua,40407,40407032
98,Bobonaro,Cailaco,404,Purugua,40407,40407042
99,Bobonaro,Cailaco,404,Atudara,40401,40401012
100,Bobonaro,Cailaco,404,Atudara,40401,40401022
101,Bobonaro,Cailaco,404,Meligo,40406,40406012
102,Bobonaro,Cailaco,404,Meligo,40406,40406022
103,Bobonaro,Cailaco,404,Meligo,40406,40406032
104,Bobonaro,Cailaco,404,Meligo,40406,40406052
105,Bobonaro,Cailaco,404,Manapa,40405,40405012
106,Bobonaro,Cailaco,404,Manapa,40405,40405032
107,Bobonaro,Cailaco,404,Dau Udo,40402,40402022
108,Bobonaro,Cailaco,404,Guenu Lai,40404,40404022
109,Bobonaro,Cailaco,404,Raiheu,40408,40408022
110,Bobonaro,Cailaco,404,Goulolo,40403,40403012
111,Bobonaro,Cailaco,404,Goulolo,40403,40403022
112,Bobonaro,Bobonaro,403,Cota Bo'ot,40306,40306012
113,Bobonaro,Bobonaro,403,Carabau,40304,40304012
114,Bobonaro,Bobonaro,403,Carabau,40304,40304022
115,Bobonaro,Bobonaro,403,Carabau,40304,40304042
116,Bobonaro,Bobonaro,403,Carabau,40304,40304052
117,Bobonaro,Bobonaro,403,Molop,40313,40313012
118,Bobonaro,Bobonaro,403,Molop,40313,40313022
